msno,city,bd,gender,registered_via,registration_init_time,expiration_date,user_id_encoded
XQxgAYj3klVKjR3oxPPXYYFp4soD4TuBghkhMTD4oTw=,1,0.26,0,7,20110820,20170920,2748
wuQ6XMUzOWAOoi+ucwMIa1/qKYpURWh1UJLwnuopyQ4=,18,0.26,0,9,20160128,20170914,4746
gVhSsPpgPahjgc3otkuh5me02Tk9MFKkISphH5oKQVo=,15,0.14,0,4,20151029,20171006,3454
pXrqb5LRcKCG83LnFoa20jebHP4/gRnEvzq8Ik22jzY=,4,0.26,0,9,20150613,20170917,4181
UjuPJCQo/YoGVR/yJ+CocmWUk2czJE0BBKqaPpVYV64=,13,0.16,0,9,20130518,20171202,2505
nbytZ3+EdbMM3Rk80k4v4g4t4HPbtUAmAIGXYw31mWc=,15,0.44,0,3,20120725,20171005,4015
bwz+fTFHhvPVRy+sRq1DMVNEavtiyhxSVIzvHr6Il0Q=,5,0.72,1,3,20150916,20170923,3108
XL9fOaAmdfJV35udH0/W7xjOtu4REE/Iwlks5ycurHo=,15,0.18,0,3,20130407,20171021,2737
uHqAtShXTRXju5GE8ri3ITsVFepPf8jUoCF7ffNOuqE=,15,0.22,0,9,20111107,20180304,4571
0MXdpE9QGej+UldeCesAsgOIedXLP65FDDALMi+S+zg=,1,0.26,0,3,20140320,20170925,174
ik+dP9XmiuyBzl5b9mU9kPKglAAQq5VZFDRZmIGVYB0=,5,0.06,0,4,20151213,20170912,3627
NE+jdORNBYCKR9xo+TNptpDx2TlRajNS46GuTpxPSCw=,13,0.14,0,9,20150512,20170913,1925
8sEEszoN7JW047C9Qt5XN29r7UJwsb5J6RWTz8gLlqE=,1,0.26,0,7,20130604,20171004,817
1yd9fOVZVhdmRiBQSGNNIkt1auPjBJ1nSHWhVHLR9Fg=,13,0.26,0,4,20151107,20170930,288
1mLIcr3KuTej13nEnSW6pDjXekZvNlsgCs71dZtI1y0=,13,0.36,0,7,20110330,20171005,278
2py1N+YUMs51S5OZ5jCZLSt7kpV/eVoypoROrn7x8Ys=,6,0.14,0,9,20160827,20171014,362
0X3uXqsjx1zgdf0fWs4yd7ZAleoZxHUxg2fJ7d3oX2Q=,1,0.26,0,7,20130624,20170930,192
JJsP9WrHRNtM5RYNJfmSYinSaZUjyqfMmHD1PcAxWdI=,1,0.26,0,9,20160419,20170913,1624
Z4mPl8O9F/Ks5+zPzi7SHjJAmLdluIee1lGJ9QvJaSI=,22,0.42,0,9,20120519,20170907,2891
