song_id,artist_name,composer,song_length,language,genre_ids,song_id_encoded
o0kFgae9QtnYgRkVPqLJwa05zIhRlUjfF7O1tDw0ZDU=,BLACKPINK,TEDDY|  FUTURE BOUNCE|  Bekuh BOOM,197328,31.0,444,16007
DwVvVurfpuz+XPuFvucclVQEyPqcpUkHR0ne1RQzPs0=,SUPER JUNIOR,Unknown,231781,31.0,465,4893
dKMBWoZyScdxSkihKG+Vf47nc18N9q4m58+b4e7dSSE=,S.H.E,湯小康,273554,3.0,465,12735
W3bqWd3T+VeHFzHAUfARgW9AvVRaF4N5Yzm4Mr6Eo/o=,貴族精選,Traditional,140329,52.0,726,10515
N9vbanw7BSMoUgdfJlgX1aZPE1XZg8OS1wf88AQEcMc=,伍佰 & China Blue,Jonathan Lee,226220,3.0,458,7749
oTi7oINPX+rxoGp+3O6llSltQTl80jDqHoULfRoLcG4=,林俊傑 (JJ Lin),JJ Lin,228623,3.0,465,16158
tqBlH4r/q1Tf6C5+C6ucjGlLjMbfu5yjqB6ifRzy5dc=,蔡旻佑 (Evan Yo),蔡旻佑,257602,3.0,458,17747
an6EdIr+Z+KbqIVQiXn5PKkcXncefQ7hhWONseRuub4=,Coldplay,Chris Martin| Guy Berryman| Jonny Buckland| Mikkel S Eriksen| Will Champion| Tor Erik Hermansen,282697,52.0,359,11972
MrRilXQwoUAcoAf0N3RT82qX2/us/wEhYDXE+ZTIW5o=,小男孩樂團 (Men Envy Children),"Skot Suyama陶山/""蔡詩蕓 Dominique Tsai""",199157,3.0,458,7644
3Po6v5nAk+ACnmTgGF4maCQNwWCuCT9BSR13M5c8KG8=,步步驚心主題曲原聲EP,嚴藝丹,246015,3.0,465,1658
IV8kTOBKcUoO4fINEi+VTYzr7TdyM/kin+gapgzygco=,Katy Perry,Katy Perry| Max Martin| Lukasz Gottwald| Henry Walter,228993,52.0,465,6294
XtT+taE0f0Ua5O96nZ48vW+r8YwRgO6WdWOoJmmDUNU=,劉若英 (Rene Liu),張起政 ,226951,3.0,465,11076
XVdugYtHPN1vCK/8rsZZj/5MX8wv421d4unsaOpPq7I=,傅又宣 (Maggie Fu),陶山,292571,3.0,465,10960
FZ5/wgtMuMV0Y8gzzgQj6bH3Qpr62zRV/LwbhNBrdqk=,BIGBANG TAEYANG,Unknown,220056,31.0,465,5391
SONqxocCptA85J/tJ1hGlTVbQxs+x1gokyes79xZFO0=,Kyary Pamyu Pamyu (きゃりーぱみゅぱみゅ),Yasutaka Nakata,266788,17.0,1609,9407
Co8PcF2DeW+i14x4xSwe7YFkJKAm1B8SZNXdVTpsljc=,品冠 (Victor Wong),品冠,240326,3.0,465,4532
+M/yM08pYwOznHRvf9Aj95A9M85wn4/jsTX0ye1KR2c=,The Weeknd,Abel Tesfaye| Timothy Mckenzie| Carlo Montagnese,281054,52.0,139,113
gG3/58uZyyOwaPT+eGWL81mwCzcDPW2EmwYcjWmvJSs=,五月天 (Mayday),阿信,226742,3.0,465,13657
i0JD8QBIkZtIoe0NvVQkGxDZGdRYPQ8woEL7dcaloxE=,謝霆鋒 (Nicholas Tse),Unknown,212276,24.0,465,14152
N9wIY8MsBg4ctaiivtDCvk1ynsMtIbX9TpjkwEfidcE=,HUSH,HUSH,342144,3.0,465,7750
QXxwXFuL2yNKyn2NM68uV7RJ2AaJukZeGPvu+y6kCJU=,陳大天 (Daniel Chen),阿達/廖偉傑,238132,3.0,458,8802
NV9HhUzyK50tGvxb3w0PdZoaw3Ypp86XDmmMr0vgFdg=,John Legend,John Stephens,262749,52.0,139,7851
PFTxx8m3p9Sy3z0tkE/Tfysm4c4AXGSNTzVY6FM/Qag=,A-Lin,金大洲,244819,3.0,458,8408
fL+kYiefBmixA+rraUsD9svI5GrPBM1yUVmuft4cZVU=,花兒 (林佳音),周佳佑,235488,3.0,458,13381
mHwy8WSNpd4E03pxeZ2vZJOSwFyjI9D/q8MpD2qpQ2k=,李玉璽 (Dino Lee),李玉璽,223294,3.0,Unknown,15480
OLnB6amnCTMEz5KxrV7pdkXJWB+fnMoWVJSzv2AlBLk=,Westlife,Bettis| Hammond,236355,52.0,465,8123
vzWZd7svSo4Xc/kUMEtRuAJkupQIGqcPeTqESWz84UQ=,JUNIEL,TWO FACE | 이상호 (Lee Sang Ho),196179,31.0,465,18389
DhAkZvlnryiYENIhuxu1FtJeYJzmEZxDBQO8qaxx/hY=,蔡旻佑 (Evan Yo),蔡旻佑,290110,3.0,465,4811
igUq5ErBzlm2Wi05YsoiyWdxd4wbHGPaFOS8kQFhoik=,Urban Zakapa,Gwon Soonil| Park Yongin| Choi JaeMan|  Jo HyunAh,228717,31.0,465,14348
v27+O2w69lwrw/luclRexIr/mdGNCJJp/EBhmsLje40=,吳克群 (Kenji Wu),吳克羣,246491,3.0,465,18122
3QZAIrm2XJ747bKJJSAMQ0yTsyX8JvXKI3JdGswnO7g=,SUPER JUNIOR-M,Unknown,207261,3.0,465,1661
dzAyth7bpVgPJ7ACTj/lnj6gXYJV1Yo9aetyqb1+lps=,蔡健雅 (Tanya Chua),蔡健雅,333635,3.0,465,12933
x/sJa7GF5nZ36aAl5lDSjSJPVlobOx6ROZ3qB33RhMY=,蔡健雅 (Tanya Chua),蔡健雅,263418,3.0,465,18696
rdNg0FiLBStCei8h1/h2kwv8IS97ZgONQkb/kXGAvqM=,Brett Eldredge,Unknown,236329,52.0,1011,17057
dreY/kjMvCt9eb1J37gtistePo+3djW1+GeNz2oRQc4=,Lorde,Joel Little| Ella Yelich O'Connor,193004,52.0,465,12899
IouVtHBa0SRl7CqYwGkyvN7Vu7drl0Llq9swfIXwLx8=,鄭伊健 (Ekin Cheng),陳光榮,208004,24.0,465,6398
XqkttTMBlP95mxqAosrJkwkPGYlKHKnWjfMwfnINZBk=,ONE OK ROCK,Unknown,224757,52.0,2022,11057
dMJhInRHA2CBEE+2fLKScDETkr/t/pJUQVUAdsyqG+4=,2013網路票選權威歌曲,高進,277786,3.0,465,12744
9TxeC10erd6a5ATnCa57MLZrTkgNgG7zbJaHJryURFg=,Diana Krall,Unknown,268561,52.0,2122,3508
pSQ3cGYcIqXKM0dF5FSVCb716N9Xwa0Ka8u0xBORvFs=,劉若英 (Rene Liu),木蘭號AKA陳韋伶,264359,3.0,465,16447
v91olyybN9ksMslVNo8ZdbOwj/gtBv4VzK35LEk0B/M=,周杰倫 (Jay Chou),周杰倫,253492,3.0,465,18151
7HZRpauo3ediOwo5NUyJEFaybOpu/9FLdOskLIBwi70=,Martin Garrix,Unknown,176170,52.0,1609,2808
zLH4sXtrHP4Hu23vzKPbYbu7zm1Z8deQQM6wDrORgkE=,李翊君,T.C. Liu,298794,3.0,465,19387
UbOpoUBp1iIUNLnZi886sQMjyWI6EdQHpMYshJaXHVc=,蕭煌奇 (Ricky Hsiao),Hsiao Huang Chi,326844,10.0,465,10083
ow9h9K+CIS0SzFZ0ipgI9davwVpxLmB3Fz2Ct4cL9SI=,Imagine Dragons,Unknown,240349,52.0,359,16290
zyO10vXfMjUGAE7XqKbK2pS8VGN8dWZ6s2PsD8gbKJk=,蕭煌奇 (Ricky Hsiao),蕭煌奇,299026,3.0,465,19579
veeW5CZtHxWRT6rznk1m0uUZs1Zp0/UKKdpz64dP9Vo=,林宥嘉 (Yoga Lin),林家謙,244088,3.0,458,18294
M14BA1BgGok4TpRqNp2/YITHmSvP1CJwIvifkNENSf8=,花兒 (林佳音),WG,251904,3.0,458,7394
TVGXiftBtpPjbEmF1F5r31MFHMQJo+kAcBMEX0oG05E=,法蘭黛樂團 (Frandé),Unknown,264103,3.0,2022,9772
SWVyLXlJtVtH6RT55x5SAk9GizXu4KUS9jPFfinsrEQ=,ジブリサウンドトラック,久石　譲,215519,17.0,Unknown,9449
/kKatC5L3zhUaUPIIWu8xhxVIaO1nXo2ixSXHFFJlys=,八三夭 (The Last Day of Summer 831),Unknown,204173,3.0,465,542
XdKXz51HBjaTKkOmRvvrPBD7CdkCNcToc3iT5dToVsw=,Secret Garden OST,Unknown,252586,31.0,465,11000
YOazPkCHgysjxfbOBEntiY5CU6vK4+VNHFAQmlH9ans=,Armin van Buuren,Unknown,203221,52.0,1609,11227
UfK2UdQAaYF6IJUXqSJ10FsbAF3YkvMJYcTYC2Ec5m4=,Calvin Harris,Calvin Harris,222649,52.0,1609,10101
o8I8zqepEor1Vf4Wvb0MW65KK14xPFVm672bLCDPZZ0=,黑錢幫 (G$MOB),Chris Wiebe,221622,3.0,1259,16046
ejj7FbqTWzqJeZJeYyAlhAoH8D/S3+FQN1La0IOxuyI=,孫盛希 (Shi Shi),孫盛希/Skot Suyama 陶山,253596,3.0,Unknown,13172
skCaG6fywLmpJaTNeqL89sis3vUydYzd+HLnBy9DsiE=,David Guetta,David Guetta| Giorgio H. Tuinfort,199645,20.0,1609|2107,17417
ulqzONAyVEfaLbmAo6biIjPlUFCBaOSHmbGG1VJSjk4=,孫淑媚 (May sun),Unknown,262106,10.0,465,18030
+uLozC5Uy/kiXdW76c/Jcyj/edSaCqmohhVUhaSD8p0=,Various Artists,Unknown,169377,52.0,921,287
brkiVNHpS5jyy2FcWsvYXxjkj82pD0VSWiCw9qIRHnk=,王若琳 (Joanna Wang),Peter Sven Kvint| Vincent Paul Degiorgio,195674,3.0,458,12267
/QDDiyMuq5CADu5b9HCMnrQa5/MfP3iEJOKn4GN36b0=,Girls' Generation (少女時代),Unknown,210558,31.0,465,441
1Lr/g+TgtSdEO5mGmjGu8vGIYkMOWKACfffcilKRwKM=,Angel MaMA Story Teller,Unknown,306050,20.0,481,1040
estbd9IwIBucEXA/NMyVoEm72l8536yQODQMfNRyE0c=,The Weeknd,Abel Tesfaye| Thomas Bangalter| Guy-Manuel de Homem-Christo| Martin Mckinney| Henry Russell Walter| Jason Quenneville,244645,52.0,139,13212
R8o3H0gQix1FHU1wk8n8QQOXDMYp/Hj5Hshmcm9RA6s=,Bon Jovi,Jon Bon Jovi| Richie Sambora| Brett James,227184,52.0,2022,9001
Z/eQEIdz8xODvKaE5tAFG3h5QMQ00Hpj80Tohaulapg=,品冠 (Victor Wong),品冠,239490,3.0,465,11415
1shZg1e14cstzrHM5VEtejFPZK003b2ufdcb4vIfQCk=,Lady Gaga,Lady Gaga| R. Kelly| Martin Bresso| William Grigahcine| Paul Blair,227277,52.0,465,1176
9n7wAgUs+meZ2zaP+Ej/Zs3FXXRMB8fRCMIqlls7qkM=,BOXING樂團,Xin Yan Lin| Kasiwa,202106,3.0,458,3603
SDQmfpveCq7FN7EhWPSfBSutzt9qCj5B1/oMCfpfuPo=,陳芳語 (Kimberley),梁永泰/余竑龍/James Kerridge,318624,3.0,458,9354
h8zwwhonBSGtcI688j7pP5NE1Z4g3+coJ7k2qHjxhIM=,San Holo,Unknown,320528,52.0,1609,13926
WzU1RstYnUMxQB2haCCn5HUTEeGiodg4Mhu2WmNlPSI=,棉花糖 (katncandix2),沈聖哲,291422,3.0,2022,10785
iKKuczNsdSqGWfosb9uRTuwWXFmweXhOldYQzg2cP14=,Pitbull,Unknown,245852,52.0,465,14253
dcLboW9Fm8BxXVBarq0PIBFEURsFw8rBvNxo+DMNVLc=,Various Artists,周華健,267075,3.0,465,12832
fE4eenCMHkw+91w6waICwpQfcqBniMWs60r58dPikqs=,曹格 (Gary Chaw),曹格,288384,3.0,465,13342
zQZcGXs/vJrY4hm6Y5PFSwGvmcFqTitUiCBmJl86JEo=,小宇-宋念宇,宋念宇,226847,3.0,465,19407
qxb3gMZsXI4CaNFxncyvktbu9N1yw+ct1KQK90On44Q=,賴慧如,申喬希,232698,10.0,465,16875
R52fz69CefL0gjMU86j4kmRVBLtBPchF2fzruvAQvas=,Timbaland,Ryan Tedder,184366,52.0,465|1259,8980
iMnukgmQGKejxfhMaCAewvqziHqCMHO8kXIt9x/8zfg=,Natalie Cole,Harold Arlen| Milton Delugg,145635,20.0,465,14259
gGEFrOH+rUXXNK4RZLA/5oAXQyQbxc6Hio9dBuTXYRM=,蘇打綠 (Sodagreen),吳青峰,221831,3.0,465,13660
TGvud+ffIR1eB/7pmW2F4oOv0Fdw+FTsyHrcVpFrf9k=,Various Artists,Park| Se Jun / Lee Yoo Jin,217652,31.0,921,9695
5TLmh9IL14iz1nHOE/z2ZZtGST1Gg6oGGV1L0D5yEaQ=,Various Artists,陳小霞,254026,3.0,921,2281
+O8yd/0Klq+CCUAEipJQV12NYfcog4g8z/5F9gcysM4=,王大文,Dawen Wang,213263,3.0,458,130
MEmRb1tG6yYgWqj5mIeD6yvlBlHxXBGd+B2GVqOk11s=,黃立行 (Stanley Huang),Unknown,233116,3.0,465,7466
sF6f7fg7qB6fwkn9xVzSZPdfuU/EzGd4pKE/toGhRu4=,拜爾,Unknown,235868,3.0,465,17267
aAPOGxLkKR2u7UtECiuES4aMTMrEp4IUrSN5KDzTBT0=,潘安邦,葉佳修,184234,3.0,465,11761
0UE5EH5oqiKDhs035+EnCUMHsNctmGZnGi/cYBKLAVw=,Kygo,Kygo|Ella Henderson,244621,52.0,465,775
6zzVCcCnD/kW1t1qz3mV8p8VjhaLwSWz+833GprBkzE=,謝宜君,黃俊銘,237024,10.0,2157,2725
U/Jj5cHvEIUWkInr/yWHKmraMIdleAMzAgHbtGK/8Vs=,Swifty,Swifty,209536,52.0,465,9916
Dao/omceouNx5c7CENpsLwUMXmkjQzcG0GJhmXS+OH0=,韋禮安 (William Wei),韋禮安,244192,3.0,921|465,4771
0bv7l2noe/wZPqN6ZRvh43//Yy/3xOlDpn9Q6gF65BA=,陳小春 (Jordan Chan),Unknown,267447,3.0,465,808
ou1wRtH/HtUshJxLUuNcJwRvN5X6nYuWAfZ6rdhGB8I=,周杰倫 (Jay Chou),周杰倫,166661,3.0,458,16280
bZK1D1iop8jwkH57ZMUB9K0yp7DI6RTFOy0iq7ARzR4=,2010 The Hottest,Unknown,220264,52.0,465,12177
YP8bwEbBvwEKT9kqBIUO5Oa1YHrgu+6dqgLvu0y/Ha4=,元衛覺醒 (Awaking),Unknown,267818,3.0,465,11232
fpVbQMx/YyfBZEI2l3oiErZS3pH2VD5DbypdCVSeL1Y=,蘇芮 (Julie Su),Unknown,290377,3.0,465,13527
Y/vN4s1szYhn6RLwuqkD4sJtMkun9iEHyPd8RBQMDYs=,Hello Nico,詹宇庭,230976,3.0,465,11111
IFyFws3RGIL6nC5hHwUEOuOAyronl49eK6RZ26vbde4=,GFRIEND,Unknown,215875,31.0,444,6215
zkwWY2/Ge3xRKQqV20TdZXSSRbdA6+oEu5mIO4zYBBM=,容祖兒 (Joey Yung),深白色,267552,3.0,458,19508
xOogmRkucIUzU5P4JeuziHE6JbxvBVezcEYQnJG7IaA=,寶寶的音樂花園,馬丁.夏布洛,140341,20.0,786|726,18820
a+8blOo2zBl+Yp+34ZtorDQHbv69HRLbPAlZmpM5ick=,芝麻+龍眼,Unknown,243252,3.0,465,11704
84dt4bpjUjAuc9GOKLWJ+4lwk2zBCTSSfwRsNk/eV6o=,Celine Dion,Unknown,211348,52.0,465,3070
VHf+a4sM3KgE1jxTPYFMfO/I8I9emEjnQTIXApgwJhs=,李英宏 aka DJ Didilong,李英宏,275121,3.0,458,10294
6y1vBYPnQ5+iB7hnQtLOhZRHGhLs6H48P9iaXrlmY9c=,陳淑樺 (Sarah Chen),Unknown,188081,3.0,465,2711
uEl0qdm9OsNg8dkJmHT1EIidNr9EyAD+1q0MwTYS/qY=,英皇團員,Panot Khunprasert / Prakarn Raiva,220577,3.0,458,17872
AzCTufYS1k7MMIKCxeiaxDbhVJx0hbkaNm81VPpQt/s=,李玉璽 (Dino Lee),李玉璽,194977,3.0,465,3978
kvecLE1JD7/cJltMrg/PnTm4kke8wTU4lKjx0bvuEEo=,鄧麗君 (Teresa Teng),Kung Shun Lam,231549,3.0,465,15060
FTEviT+yMjFboGynm9az975ovGLjJrVkoEz2EUGUVKc=,Take That,Unknown,223979,52.0,465,5363
Ee7keZg3xiUfVPc6U63O5oFPc2qoDXc5kLRPSUkEbqA=,Sam Tsui,Ester Dean| Mikkel S. Eriksen| Tor E. Hermansen,229146,52.0,465|430,5113
3A6+iE7Pu379P59QwXVlMVajjO4Xq2AKILh/lcqBaAw=,羅志祥 (Show Lo),Unknown,201038,3.0,465,1590
LALbS5G5q5l1kNljdjRt0x6SOsiNufOSa8dgG417Li4=,江蕙 (Jody Jiang),陳子鴻,247640,10.0,2157,7131
7hnG5x7U9GCHg4l0AxOEAzq40AYefEwGyrDKlRDHTTU=,潘越雲 (Michelle Pan),黃韻玲/沈光遠,270419,3.0,465,2948
RYMnB81ps8CBTASNbt5wB2U2G8buiLudCsP46uCcMWE=,Ailee,Unknown,256731,31.0,444,9128
nAnutq4A0ZCY8+3tssq8DeecZn7er0UYaa2VgfZv4Bo=,CHARLIE PUTH,Unknown,286850,52.0,1609,15739
EzeLToDZ6uW+ASQaaknzEUPCDKzMU4c8EPe/WK7fnt0=,黃玠,Unknown,223097,3.0,829,5217
vpCai2rhN0BBuC7sn5N9V+6VV/fGxaPgOkxjFXWu1CY=,五月天 (Mayday),阿信,229668,3.0,465,18341
WrCG8pedFC0OFhvYfO1b0KNeYscwN5mMg/vSi0CL34E=,孫燕姿 (Yanzi Sun),Unknown,268878,3.0,465,10751
KOmNODfJADlTjNgrI+ubygDbk7vQY8H8q/2oP44PI+g=,張惠妹+孫燕姿 (a MEI+Stefanie Sun),林俊傑,288995,3.0,465,6901
+3VBxMwSEK8RRCBdDpVPEHlezOYVBS7UXZdQcy1SK2k=,張雨生 (Tom Chang),Xiong Tian-Yi,263732,3.0,465,26
gSryS0iPcSN9HHO455dJ/Lpj51SQ2BtX61QlMRmVeDI=,賴慈泓,賴慈泓,177214,3.0,465,13720
th2d39w488DAKEPVhQLUGwWhQwISjciK4l9dLXXHxjQ=,Red Hot Chili Peppers,Anthony Kiedis| Chad Smith| Flea| John Frusciante| Anthony Kiedis| Chad Smith| Flea| John Frusciante,329743,20.0,359,17711
RIyfMJaoNumW87kzII2xzI/RvS5gFiuIXnXOdd563LY=,王菲 (Faye Wong),Unknown,255094,3.0,465,9061
vXK+/C8GovS3yNAL6I7DFZX0RQfXJq2FRDAsHpCFhCg=,Ludacris Presents & Disturbing Tha Peace,Craig S. Lawson| Chris Bridges| Michael Lawrence Tyler| Bobby Sandamanie,272195,52.0,465|1259,18265
VaYpi7GsVJD6DecyKUAARSbRiZrwyyrkC06oNkO6Tas=,Namie Amuro (安室奈美恵),SKY BEATZ/FAST LANE/ERIN REED/TENESHA BLACKS/Emyli/Miss-art,249521,17.0,465,10375
QvXHAOxih86kNvbKdkirvnTdAIZ5QdodxNQa5mGlNoc=,林夕字傳,Kah Beng Tan,259413,24.0,465,8920
gtN7/nkGyPPfJ3zIVAzUqn9twALW8Z6DaGNB9AtSbyk=,พลอยชมพู (Ploychompoo),สุวัธชัย  สุทธิรัตน์,257671,45.0,465,13831
PImNS5q9aNKeEvswI+dN36Qd+yZwHpZHH+F7fmIkeqg=,The M Machine,Andrew Coenen| Eric Luttrell| Benjamin Swardlick,331929,20.0,1609,8426
N6JBWeRNMdBRB2HTC5tYw+79xzESt8MDmm6rIfx3Shg=,嚴爵 (Yen-j),嚴爵,122784,3.0,465,7735
sK38fdHrQgot+R71sDHRt+Hdbv/rAAfIBQ63ZvBXoSk=,Various Artists,Unknown,208535,52.0,139,17294
Rfd0zjuKaemIZlpYJ0CovYH6r6nHd86ICbzFe+6wgng=,MAG,MAG,287033,31.0,444,9168
ExDqhLlf1Rxn8Yf2FyTQeoc+2redG2pgVf4j3n71Nfo=,VIXX,Hyuk Shin| Deanfluenza| 2xxx!| DK| Siyeonking!,184946,31.0,444,5207
d+K8X9MoCqOwYYHfcvdRLxSjAWrFacbVh0bT7RxBp8c=,郭富城 (Aaron Kwok),Bao Xiao Bo,263627,3.0,465,12627
b+OlR6qF0gzG++m+sYrOnf7bJF6WmXv51xGLBpmugxg=,陳奕迅 (Eason Chan),Jun Jie Lin,288391,3.0,458,12020
mFqm0+WegAYD/v5Bto+R6TNva28h8580ltzZPMgGvOo=,Evanescence,Ben Moody|Amy Lee|David Hodges,237122,52.0,2022,15466
vLvRGCAj8JzTLygSB20eqIL6hSTzE7gf4hyYAguZp0k=,周杰倫 (Jay Chou),周杰倫,256313,3.0,458,18196
ipH8Ff6lJyGGZ1ma8358EFbFfMcVFgzqgjCpwZJt+O8=,王力宏 (Leehom Wang),Leehom Wang,244636,3.0,458,14397
qOW6/LDzU+I9enH17xNViyGAEMIokz0le6A3a8Wm9KI=,Lady Gaga,Lady Gaga|Diane Warren,258020,52.0,465,16711
0s9nPjcDH0H2qiiWV/3PLm9wlMmgzv+73Di87VboMCA=,劉畊宏,Unknown,303333,3.0,465,895
r32InOEEvPK8y83txfMS48mK/sz0/3VVV+9ft7+dE+A=,五月天 (Mayday),怪獸,233743,3.0,465,16902
WWgB6GYGuyplhfw51plAbvpnixjsFA3XKSyEuTN42Tk=,LYn,Jay Kim| Ji Hyang Kim| Melodesign,204428,31.0,921,10661
Vv/3ptUTg4R9I7Uve9BDTrUdMYjvrAWvd5+46HC1Gv4=,Various Artists,Elton John| Bernie Taupin,187802,52.0,921,10471
U+1QplaUrekrWdj4LRj6Xou46CI6xQWlDmru4dOpwwg=,Various Artists,Sue,176543,3.0,465,9910
uWREia5CNSoapbU9+BpqQxlSfntw1J/01HQGpVxFiM4=,曾沛慈 (Pets Tseng),鴉片丹,283898,3.0,Unknown,17951
dr5+92gtyojsQq7CA0npWQKZdtPYEZztc7zrnOYLEcw=,噓，龍貓睡著了,Unknown,219219,20.0,786|947,12896
UUhkvjjTx5SA4PK2KubWMALNG3tE0VFrHTAk5KEgULQ=,楊宗緯 (Aska Yang),Qing Feng Wu,249034,3.0,458,10049
dSzFGa1wcCJBFWmmgV/45V7VunXRzc8jurkpORWnOM4=,陳勢安 (Andrew Tan),戴佩妮,250357,3.0,465,12785
f1Yel1mwQJgYBBa9xUODldYUe1Q9zAo+CiBj7hm1/rI=,噓，龍貓睡著了,Unknown,268434,20.0,786|947,13271
SuzX+8k4dhZbTnCx/n1PC5sATRscrcdudLuWEFfZKuI=,徐紫淇,張燕清,279928,3.0,458,9575
6dcf5tF0yAHnvImMTy3/TvyKEo0VfnCiV2onEwB6EdM=,川島茉樹代 (Makiyo),Unknown,242729,3.0,465,2610
cD7+SP129Xx1ApW5KDHDr1vO8Jm7bTvl6sjEH9Cb0j0=,動力火車 (Power Station),Buxton| Sarah / Shaw| Victoria Lynn / Burr Gary Scott,256626,3.0,Unknown,12391
sXkmA4+esB62W4jxWv6Wh/X+cTSJZi7ltbvUY40pDXE=,施文彬 (Michael Shih),Unknown,250775,10.0,465,17353
